#wavelength (micron)	Absolute Flux Density (erg / (cm2 micron s))	Uncertainty (erg / (cm2 micron s))
0.8615840077400208	2.315023390001003e-12	5.6834833334854645e-14
0.8647770285606384	2.112219253669334e-12	3.674200565106575e-14
0.8679890036582947	1.9048792491288546e-12	5.3263224045066795e-14
0.8712199926376343	1.8981732418515973e-12	5.259633806503454e-14
0.8744710087776184	1.88050876953616e-12	7.02843680608009e-14
0.8777400255203247	2.0961093104288064e-12	4.7333651212976e-14
0.8810290098190308	2.350547924703794e-12	1.6142122022193804e-14
0.884335994720459	2.4773176132003583e-12	8.442562377279292e-14
0.8876630067825317	2.701618442846332e-12	2.179289565376174e-14
0.8910080194473267	2.724512889601405e-12	3.363483807878459e-14
0.8943719863891602	2.9369558000869045e-12	4.6326376572760133e-14
0.8977540135383606	3.182205584109643e-12	5.3191178810705134e-14
0.9011539816856384	3.2952308416656084e-12	1.9395043635906696e-14
0.9045730233192444	3.3833671541499966e-12	8.673441874657364e-14
0.9080100059509277	3.4906838704273913e-12	5.103224090595264e-14
0.9114649891853333	3.899234234105986e-12	9.887803873202469e-14
0.9149379730224609	4.149723967228347e-12	3.556815689957464e-14
0.9184280037879944	4.532203605467355e-12	5.993290716141408e-14
0.9219369888305664	4.542722101263941e-12	4.46534831138011e-14
0.925462007522583	4.4422872498561805e-12	2.1416049001462406e-14
0.9290050268173218	4.3447563255472055e-12	2.0551104695505466e-14
0.9325659871101379	4.4914293638453895e-12	5.726564106809176e-14
0.9361429810523987	4.76431481072348e-12	8.419208662483954e-14
0.9397370219230652	5.049165079096252e-12	2.1741379109909732e-14
0.9433479905128479	5.299840427630542e-12	5.384193728342167e-14
0.9469749927520752	5.5921985792073414e-12	8.758811953718873e-14
0.9506189823150635	5.770006868133226e-12	9.649856055286149e-14
0.9542790055274963	5.8148568425619995e-12	5.258314129171632e-14
0.957955002784729	5.734951576130687e-12	5.6783703038026587e-14
0.9616460204124451	5.856012289667811e-12	5.636003409846893e-14
0.9653540253639221	5.917275783945408e-12	5.3969608865495414e-14
0.9690769910812378	6.440768057780488e-12	4.685670051290426e-14
0.9728149771690369	6.566970491700408e-12	5.2660851482429216e-14
0.9765689969062805	6.954113066642842e-12	7.476696128536076e-14
0.9803370237350464	7.086249555893209e-12	8.381318507061017e-14
0.9841200113296509	6.846073187516399e-12	7.808185521762656e-14
0.9879180192947388	6.071612830560458e-12	1.3140530330524314e-13
0.9917309880256653	5.345902973769023e-12	3.5851353895159643e-14
0.9955570101737976	4.747569091329007e-12	2.311797705578742e-14
0.9993979930877686	4.865619192273574e-12	6.272178008090781e-14
1.003250002861023	5.115942391942241e-12	2.6616167223773163e-14
1.0071200132369995	5.445271403919927e-12	4.403977047406568e-14
1.0110000371932983	5.701284496589798e-12	5.324015425571538e-14
1.0148999691009521	6.0762662262847655e-12	4.105225477591366e-14
1.0188000202178955	6.108378993591179e-12	1.9369139674313765e-14
1.0227199792861938	6.198578109128938e-12	4.8150990573231356e-14
1.0266599655151367	6.2741044998260165e-12	2.873522004110535e-14
1.0305999517440796	6.563500177386716e-12	1.0585096303162081e-13
1.034559965133667	6.978874943219804e-12	1.3113451026013773e-13
1.0385299921035767	7.419675117359414e-12	5.687353935241238e-14
