#wavelength (micron)	Absolute Flux Density (erg / (cm2 micron s))	Uncertainty (erg / (cm2 micron s))
0.8823950290679932	1.9906205590142223e-12	1.0978158215390471e-13
0.8857100009918213	1.9983420300462296e-12	8.334353579454376e-14
0.8890439867973328	2.0816952762264807e-12	1.0120058952086883e-13
0.8923969864845276	2.3039363385851663e-12	1.4179175682974693e-13
0.8957679867744446	2.4057906274771446e-12	1.2207024128498e-13
0.8991580009460449	2.507129052975454e-12	1.7862049187834794e-13
0.9025660157203674	2.702801957937817e-12	9.965892179423022e-14
0.9059919714927673	2.8650675581998186e-12	1.3089053766627418e-13
0.9094370007514954	2.9134977850425736e-12	9.59688125951215e-14
0.9128990173339844	3.2808918342536186e-12	1.6884242485040724e-13
0.9163789749145508	3.3756361421388714e-12	1.9069641699065443e-13
0.9198769927024841	3.4146962601261377e-12	1.547111099170842e-13
0.9233930110931396	3.5550572902165456e-12	1.655804128791044e-13
0.9269260168075562	3.677592952389119e-12	1.5477065972140797e-13
0.9304760098457336	3.808902845903184e-12	1.5127466336875561e-13
0.9340429902076721	3.891277491202549e-12	1.6157814832200995e-13
0.9376270174980164	3.941766184289985e-12	1.9748634151606215e-13
0.9412279725074768	4.2885794741820416e-12	2.1684729207584186e-13
0.944845974445343	4.37792076896093e-12	2.043241335673851e-13
0.9484800100326538	4.721383874140006e-12	2.755231210283676e-13
0.9521300196647644	4.761193609509329e-12	2.2643391610517594e-13
0.955797016620636	4.831331949090023e-12	2.163766670178202e-13
0.9594789743423462	4.782710252143607e-12	2.5702581881413555e-13
0.9631779789924622	4.890999064088852e-12	2.322958719911533e-13
0.9668920040130615	4.84553629859219e-12	2.2521132907789981e-13
0.9706209897994995	5.034338397547078e-12	2.085821885220232e-13
0.9743660092353821	5.39795638743179e-12	2.143760565115685e-13
0.9781249761581421	5.546433104464121e-12	2.457342597635137e-13
0.9818999767303467	5.641623886804004e-12	2.281441637171089e-13
0.9856889843940735	5.182054004654324e-12	2.0614552545452497e-13
0.9894930124282837	4.667337696884211e-12	1.240075614894129e-13
0.9933109879493713	4.1904479018695096e-12	1.689253934216567e-13
0.9971439838409424	3.81900717646988e-12	1.8265467263689494e-13
1.0009900331497192	4.019146994382883e-12	1.4266494615441244e-13
1.0048500299453735	4.1137102405053305e-12	1.3694073815444935e-13
